basis,sigma,delta,runs,alpha_mean,alpha_sd,alpha_ci95,Esol_mean,Esol_sd,Esol_ci95,Eres_mean,Eres_sd,Eres_ci95,kreg_mean,kreg_sd,kreg_ci95,sigma_max,sigma_min,kappa_A
Haar,0.2,0.001,30,0.001370174482578924,0.00037990928658808096,0.0001359487922323914,0.031662099837100485,0.0014090451039990015,0.0005042203148282777,0.0010100506445906126,1.6602688886057385e-07,5.9411959158475126e-08,2731.9367828142954,768.6006339663664,275.04020455828487,1.8645320931518483,1.739776503454025e-16,1.0717078253730538e+16
Hybrid,0.2,0.001,30,0.0013952218754097908,0.0003793772400398201,0.00013575840182025622,0.014877407365706611,0.003208394451951738,0.0011481092096094826,0.0010100506445903247,1.660268889012105e-07,5.941195917301676e-08,2675.6774674535754,733.7061183354491,262.55336250669507,1.8648706028884616,5.4939237608763304e-17,3.394423883652506e+16
Legendre,0.2,0.001,30,0.001395225657064364,0.00037937705260893855,0.00013575833474897665,0.014876996018088071,0.0032082752646792148,0.0011480665589917666,0.001010050644590393,1.6602688890674165e-07,5.941195917499606e-08,2675.6699066884307,733.7058739670196,262.55327506057563,1.8648706029768576,8.841236649444319e-17,2.1092870566857484e+16
B-spline,0.2,0.001,30,0.0013952256557747263,0.00037937705156310635,0.0001357583343747304,0.014877009905878487,0.0032082668089838604,0.0011480635331600445,0.001010050644590399,1.6602688894321507e-07,5.9411959188047905e-08,2675.669906910892,733.7058652678927,262.55327194763305,1.8648706029767832,2.0801168459559376e-17,8.965220423085243e+16
LLMW,0.2,0.001,30,0.0013950829553390218,0.0003793780141299512,0.0001357586788248521,0.01485804227223884,0.0032020881517023027,0.0011458525290474854,0.0010100506445901685,1.660268889141864e-07,5.941195917766014e-08,2675.9078544650383,733.5179668228608,262.4860333526152,1.8648696190973428,7.919301792237357e-17,2.3548409544454056e+16
