basis,delta,runs,L2_mean,L2_ci95,Linf_mean,Linf_ci95,alpha_mean,kappa_A
Haar,1e-06,20,0.015638247203575137,1.9592868443962e-07,0.01617057680770939,3.1735428658387805e-05,3.4492758178991695e-07,1.7948489519584458e+16
Hybrid,1e-06,20,0.00011568832703941652,2.24200261839078e-05,0.00024441568677578684,4.6959171390990744e-05,3.5707336722481815e-07,3.932046644319093e+16
Legendre,1e-06,20,0.0001156883660064645,2.242003412006238e-05,0.000244439449501338,4.696395893080291e-05,3.570733677208619e-07,1.8497938927090296e+16
B-spline,1e-06,20,0.00011568836582504701,2.2420034106952687e-05,0.00024443938019602375,4.696394550811916e-05,3.5707336730116616e-07,1.3321997933994365e+18
LLMW,1e-06,20,0.00011566609949895737,2.2415220757471037e-05,0.00023793407158358704,4.563646086599452e-05,3.570732254081276e-07,3.4969307809814732e+16
