basis,delta,runs,L2_mean,L2_ci95,Linf_mean,Linf_ci95,alpha_mean,kappa_A
Haar,1e-06,20,0.009037146167199384,8.806545849764021e-07,0.041989269758740844,0.00018314791788735687,5.18195117550939e-06,1.0087062008475198e+16
Hybrid,1e-06,20,0.0001955798554397347,3.412908730729778e-05,0.0010987263863608653,0.000195068064738516,5.315951647418806e-06,1.6929884991256756e+16
Legendre,1e-06,20,0.000195579747638057,3.41290909853576e-05,0.00109841972362561,0.00019507269535910286,5.315951651510052e-06,1.2374836838832182e+16
B-spline,1e-06,20,0.00019557974798950403,3.4129090955627434e-05,0.0010984206545798735,0.00019507268313368015,5.315951653727532e-06,4.056282274757813e+16
LLMW,1e-06,20,0.0002482649174243829,2.7267195390816474e-05,0.0019092205476309854,0.0002092784981410367,5.315629836809766e-06,1.0093304084880828e+16
