basis,sigma,delta,runs,alpha_mean,alpha_sd,alpha_ci95,Esol_mean,Esol_sd,Esol_ci95,Eres_mean,Eres_sd,Eres_ci95,kreg_mean,kreg_sd,kreg_ci95,sigma_max,sigma_min,kappa_A
Haar,0.1,0.0001,30,5.817424389741767e-05,8.230372277829544e-06,2.945200894778513e-06,0.028673450678773704,5.297050977183098e-05,1.8955253481925375e-05,0.00010100053868336776,1.6820230967728006e-09,6.019042350001431e-10,16912.256090789,2614.199614447273,935.4793177873319,0.981539529134337,1.0749249194730929e-10,9131238018.144266
Haar,0.1,0.001,30,0.0006025030042436848,8.634934098801579e-05,3.089971483142989e-05,0.029562827471152575,0.0005875356525785419,0.00021024693310044666,0.001010053454248582,1.6822730762453086e-07,6.019936890055335e-08,1632.7672984212054,242.6001793378846,86.8133592430633,0.981539529134337,1.0749249194730929e-10,9131238018.144266
Haar,0.1,0.01,30,0.005684523524313739,0.0008994344353125067,0.0003218584790888196,0.03763045419057811,0.0030789865176637597,0.0011018011750527636,0.010104930705557898,1.684585017451036e-05,6.028210065408687e-06,174.6760827223133,28.094808919653897,10.053598254806634,0.981539529134337,1.0749249194730929e-10,9131238018.144266
Haar,0.1,0.05,30,0.027344475396216546,0.00486016513062865,0.0017391877558269647,0.07203309794363615,0.008713002784037813,0.003117908003369578,0.05057693152944395,0.0004226719606257353,0.0001512512186096384,37.301449989361906,6.370878453546481,2.279789575552277,0.981539529134337,1.0749249194730929e-10,9131238018.144266
Hybrid,0.1,0.0001,30,6.169655713906142e-05,7.896363861551922e-06,2.825677518037184e-06,0.003942442874106932,0.0006571288813051059,0.00023515055016624166,0.00010100053868394045,1.682023117155753e-09,6.01904242294089e-10,15891.280331206946,2193.612307624847,784.9740829606322,0.9818039345350958,8.43694181547522e-11,11636964625.431576
Hybrid,0.1,0.001,30,0.0006108915851106881,8.491272832558188e-05,3.038562959250966e-05,0.008742706642001998,0.002359713538303169,0.0008444126449969311,0.0010100534542491916,1.6822730756048696e-07,6.019936887763554e-08,1609.4068863558298,232.6898427783906,83.26699085080935,0.9818039345350958,8.43694181547522e-11,11636964625.431576
Hybrid,0.1,0.01,30,0.005721307053199403,0.0008924689625536373,0.00031936591667372223,0.025288514330613594,0.005014843425146796,0.0017945386726554552,0.010104930705558632,1.6845850173935004e-05,6.028210065202798e-06,173.54032309363646,27.5562264786613,9.860869003494845,0.9818039345350958,8.43694181547522e-11,11636964625.431576
Hybrid,0.1,0.05,30,0.02747030885655999,0.0048402725131215536,0.0017320692740738115,0.06688404164974701,0.009568245746255432,0.0034239527669049415,0.05057693152944364,0.00042267196062693044,0.00015125121861006606,37.136969221422646,6.293072299896938,2.2519470010474527,0.9818039345350958,8.43694181547522e-11,11636964625.431576
Legendre,0.1,0.0001,30,6.175675389608671e-05,7.88800772129029e-06,2.8226873116474016e-06,0.003978907282246736,0.0006447927522722536,0.00023073612308576445,0.00010100053868427362,1.6820230566131784e-09,6.019042206292069e-10,15874.724071161498,2186.986878757532,782.6032036893664,0.9818039364438713,4.6889449657126054e-11,20938696095.245407
Legendre,0.1,0.001,30,0.0006110986359788086,8.487037587564598e-05,3.0370473962941928e-05,0.008753174315479128,0.002346762898607052,0.0008397783180997503,0.0010100534542494372,1.6822730758058832e-07,6.019936888482873e-08,1608.8153892727814,232.44570055966705,83.17962567985896,0.9818039364438713,4.6889449657126054e-11,20938696095.245407
