basis,assembly_median_s,solve_median_s,total_median_s
Haar,0.0026070930000514636,8.945200005427978e-05,0.0026965450001057434
Hybrid,0.0012523240000064106,9.415800002443575e-05,0.0013464820000308464
Legendre,0.0014514779999217353,9.16459999871222e-05,0.0015431239999088575
B-spline,0.0015311079999946742,0.00012051200008045271,0.0016516200000751269
LLMW,0.001837205000015274,8.995199999617398e-05,0.001927157000011448
