basis,sigma,delta,runs,alpha_mean,alpha_sd,alpha_ci95,Esol_mean,Esol_sd,Esol_ci95,Eres_mean,Eres_sd,Eres_ci95,kreg_mean,kreg_sd,kreg_ci95,sigma_max,sigma_min,kappa_A
Haar,0.1,0.001,30,0.00027006139074945616,4.765872618224727e-05,1.705445613609288e-05,0.04160801963626134,0.002744063668191899,0.0009819505725953952,0.001009995816030876,1.6107029284059142e-07,5.7638264052066455e-08,3690.2693041761527,730.8410318458779,261.5281044736613,0.981539529134337,1.0749249194730929e-10,9131238018.144266
Hybrid,0.1,0.001,30,0.00026518670225910004,4.7269696698083736e-05,1.691524372307238e-05,0.031958987092938436,0.004340395670746131,0.0015531906433454087,0.0010099958160319229,1.6107029282676763e-07,5.7638264047119676e-08,3762.675683784056,754.4927950168809,269.99177922649983,0.9818039345350958,8.43694181547522e-11,11636964625.431576
Legendre,0.1,0.001,30,0.00026531473344896395,4.721726666206206e-05,1.6896481875638058e-05,0.0319784624567528,0.004312979976984004,0.0015433800633286707,0.0010099958160317652,1.6107029285211094e-07,5.763826405618866e-08,3760.4313835439266,752.825223954025,269.3950465854187,0.9818039364438713,4.6889449657126054e-11,20938696095.245407
B-spline,0.1,0.001,30,0.00026532549844856927,4.720851314750311e-05,1.689334947068222e-05,0.03198749014884059,0.004312449788614853,0.0015431903378573906,0.0010099958160317577,1.6107029285089041e-07,5.76382640557519e-08,3760.218702410353,752.6129358639404,269.3190802680077,0.9818039364510864,5.572689068472929e-10,1761813595.5324848
LLMW,0.1,0.001,30,0.00026644130482975044,4.700039261910192e-05,1.6818874496066538e-05,0.030012540896701332,0.004431112439865016,0.0015856532222618045,0.0010099958160312407,1.6107029283757757e-07,5.7638264050987963e-08,3742.236580747852,741.3294491029859,265.2813363868344,0.9818030516604297,1.0225643227079094e-10,9601381838.361645
