basis,factor,alpha,alpha_morozov,E2,residual
Haar,0.01,8.125703496958834e-06,0.0008125703496958833,0.04799251514920755,0.0004615228237667558
Haar,0.014677992676220698,1.1926901641750268e-05,0.0008125703496958833,0.04254452701763764,0.0004671437845282273
Haar,0.021544346900318832,1.7506297494761493e-05,0.0008125703496958833,0.03900242074559389,0.0004720519902918739
Haar,0.03162277660168379,2.5695730641584995e-05,0.0008125703496958833,0.03663773632686031,0.0004766806964630812
Haar,0.046415888336127774,3.771617461673242e-05,0.0008125703496958833,0.03494178511646555,0.00048162883760792974
Haar,0.06812920690579612,5.535977347994594e-05,0.0008125703496958833,0.03362245873777805,0.00048774942684063466
Haar,0.1,8.125703496958834e-05,0.0008125703496958833,0.032544364548608914,0.0004963956090239719
Haar,0.1467799267622069,0.00011926901641750262,0.0008125703496958833,0.031659773090198864,0.0005099986773315319
Haar,0.21544346900318834,0.00017506297494761496,0.0008125703496958833,0.030953282003148584,0.0005332426288118182
Haar,0.31622776601683794,0.00025695730641585,0.0008125703496958833,0.0304108362270918,0.0005750235872324922
Haar,0.46415888336127775,0.0003771617461673242,0.0008125703496958833,0.030012462483690685,0.0006508886516196317
Haar,0.6812920690579611,0.0005535977347994594,0.0008125703496958833,0.029737195127523323,0.0007848549056729326
Haar,1.0,0.0008125703496958833,0.0008125703496958833,0.029568032478896764,0.0010099657556221354
Haar,1.467799267622069,0.0011926901641750262,0.0008125703496958833,0.029493172090856588,0.0013696621207782364
Haar,2.154434690031882,0.0017506297494761483,0.0008125703496958833,0.02950718317462623,0.0019230520062752546
Haar,3.1622776601683795,0.0025695730641585,0.0008125703496958833,0.02961650487143768,0.0027545642945271116
Haar,4.6415888336127775,0.003771617461673242,0.0008125703496958833,0.029851133959891647,0.003987383950231497
Haar,6.812920690579608,0.005535977347994591,0.0008125703496958833,0.030285754991674144,0.005801548690248788
Haar,10.0,0.008125703496958833,0.0008125703496958833,0.031080378368996905,0.008458837522045166
Haar,14.67799267622069,0.01192690164175026,0.0008125703496958833,0.03255544266178658,0.012336961627243537
Haar,21.54434690031882,0.017506297494761486,0.0008125703496958833,0.03530508103329757,0.017975429323306324
Haar,31.622776601683793,0.025695730641584997,0.0008125703496958833,0.0403100939903577,0.02613430611879341
